year,borough,total_3k,total_pk,total_k
2018-19,Bronx,794,14311,17259
2018-19,Brooklyn,939,23165,24074
2018-19,Manhattan,596,8326,10988
2018-19,Queens,985,20624,21936
2018-19,Staten Island,0,4164,4370
2019-20,Bronx,3980,14010,17103
2019-20,Brooklyn,5185,23235,24224
2019-20,Manhattan,2780,8421,11015
2019-20,Queens,3279,20279,21717
2019-20,Staten Island,2362,3949,4528
2020-21,Bronx,3374,11395,15468
2020-21,Brooklyn,4478,19641,22249
2020-21,Manhattan,2510,7360,10037
2020-21,Queens,2717,18296,20166
2020-21,Staten Island,2401,3809,4345
2021-22,Bronx,6337,10845,14935
2021-22,Brooklyn,11602,18945,20941
2021-22,Manhattan,3839,6546,9241
2021-22,Queens,10317,17168,19426
2021-22,Staten Island,2645,3811,4285
2022-23,Bronx,6515,10941,14645
2022-23,Brooklyn,13967,19773,20437
2022-23,Manhattan,4083,6791,8799
2022-23,Queens,12389,17954,19100
2022-23,Staten Island,2867,3796,4295
